OBJECTID,Timestamp_,Station,District,Latitude,Longitude,Freeway,Direction_of_Travel,Lane_Type,Station_Length,Samples,F__Observed,Total_Flow,Avg_Occupancy,Avg_Speed,Lane_N_Samples,Lane_N_Flow,Lane_N_Avg_Occ,Lane_N_Avg_Speed,Lane_N_Observed,x,y
1,3/29/2020 0:00:00,400201,4,37.419186000000003,-121.962830999999994,237,W,ML,0.467000000000000,30,100,34,0.006300000000000,66.099999999999994,10,2,0.000800000000000,71.900000000000006,1,591774.283599999733269,4141894.923900000751019
2,3/29/2020 0:00:00,400202,4,37.921349999999997,-122.337615000000000,580,E,ML,0.740000000000000,30,100,35,0.007600000000000,66.900000000000006,10,4,0.002200000000000,71.900000000000006,1,558219.459699999541044,4197293.385800000280142
3,3/29/2020 0:00:00,400203,4,37.822144999999999,-122.259964999999994,580,E,ML,0.365000000000000,40,100,85,0.017200000000000,67.099999999999994,10,6,0.004600000000000,74.799999999999997,1,565135.845900000073016,4186333.532500000670552
4,3/29/2020 0:00:00,400206,4,37.381355999999997,-121.962109999999996,101,S,ML,0.395000000000000,40,75,64,0.012600000000000,66.500000000000000,10,6,0.004000000000000,74.900000000000006,1,591885.516300000250340,4137676.941700000315905
5,3/29/2020 0:00:00,400207,4,37.827978999999999,-121.998142000000001,680,N,ML,0.425000000000000,40,0,85,0.017700000000000,64.299999999999997,10,14,0.014500000000000,71.299999999999997,0,588168.311700000427663,4187218.754699999466538
6,3/29/2020 0:00:00,400208,4,37.918191000000000,-122.063640000000007,680,S,ML,0.270000000000000,50,0,190,0.014800000000000,68.900000000000006,10,35,0.014400000000000,75.799999999999997,0,582304.434500000439584,4197161.287599999457598
7,3/29/2020 0:00:00,400209,4,37.319960999999999,-122.049030999999999,85,S,ML,1.245000000000000,40,100,29,0.004900000000000,67.299999999999997,10,0,0.000000000000000,74.599999999999994,1,584259.324099999852479,4130783.743400000035763
8,3/29/2020 0:00:00,400211,4,37.889699999999998,-122.058212999999995,680,N,ML,0.190000000000000,50,100,64,0.007300000000000,72.500000000000000,10,7,0.003900000000000,76.799999999999997,1,582808.547299999743700,4193996.703299999237061
9,3/29/2020 0:00:00,400212,4,37.755459999999999,-121.962333000000001,680,N,ML,0.275000000000000,40,100,67,0.010600000000000,67.400000000000006,10,4,0.002300000000000,74.799999999999997,1,591410.785600000061095,4179194.476099999621511
10,3/29/2020 0:00:00,400213,4,37.259191999999999,-121.967128000000002,85,S,ML,0.595000000000000,40,75,28,0.005900000000000,68.000000000000000,10,2,0.005500000000000,71.599999999999994,0,591590.375300000421703,4124135.871200000867248
