OBJECTID,DATETIME_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Lat,Lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,x,y,x_new,y_new
1,38:01.3,15,1.10E+12,State Rte 238,S,S1200,37.60116884,-122.0143415,61,61,42,42,0.800000012,FALSE,587009.7489,4162039.217,36736.91777,11536.4036
2,38:01.7,19,1.10E+12,State Rte 185,S,S1200,37.71570107,-122.1434105,45,45,47,47,0.939999998,FALSE,575504.0382,4174617.784,-40713.85766,-6833.535814
3,38:02.2,22,1.10E+12,Arthur H Breed Fwy,M,S1100,37.70315698,-122.0140271,115,115,61,61,0.939999998,FALSE,586917.7184,4173355.235,30831.09754,18338.08612
4,38:02.6,22,1.10E+12,Arthur H Breed Fwy,M,S1100,37.70165412,-121.9201418,110,110,19,19,0.949999988,FALSE,595194.9018,4173270.414,-39922.24484,-35005.26393
5,38:03.0,22,1.10E+12,Arthur H Breed Fwy,M,S1100,37.70115538,-121.8250334,115,115,60,60,0.939999998,FALSE,603578.5044,4173323.902,17396.21007,1341.50144
6,38:03.5,22,1.10E+12,Arthur H Breed Fwy,M,S1100,37.70614773,-121.7309009,114,114,21,21,0.949999988,FALSE,611868.0179,4173987.449,-54731.96749,68162.4836
7,38:03.8,35,1.11E+12,I- 680,I,S1100,37.97105657,-122.0600395,112,112,11,11,0.939999998,FALSE,582561.7915,4203029.145,-53667.81642,-9298.837135
8,38:04.3,35,1.11E+12,I- 680,I,S1100,37.88976732,-122.0582695,113,113,38,38,0.930000007,FALSE,582802.9753,4194016.965,78392.24617,5341.319552
9,38:04.7,35,1.11E+12,I- 680,I,S1100,37.82337922,-121.9937209,115,115,16,16,0.850000024,FALSE,588560.5974,4186708.237,-78186.0069,10997.98872
10,38:05.1,35,1.11E+12,I- 680,I,S1100,37.73936439,-121.9519934,115,115,59,59,0.939999998,FALSE,592344.6944,4177430.407,-57833.08308,-1732.287786
11,38:05.5,39,1.10E+12,John T Knox Fwy,M,S1100,37.90792242,-122.3203844,110,110,27,27,0.939999998,FALSE,559748.4837,4195814.475,-47650.16786,-33276.85808
12,38:05.9,40,1.10E+12,I- 80,I,S1100,37.99508574,-122.2899541,111,111,31,31,0.949999988,FALSE,562341.3904,4205511.604,135915.432,50374.26669
13,38:06.3,40,1.10E+12,I- 80,I,S1100,37.92777703,-122.3223443,108,108,13,13,0.939999998,FALSE,559555.2763,4198034.402,76348.1637,-36633.78165
14,38:06.7,41,1.10E+12,I- 80,I,S1100,37.99504089,-122.2909237,109,109,58,58,0.959999979,FALSE,562261.0027,4205510.991,1490.867433,-2516.432878
15,38:07.1,41,1.10E+12,I- 80,I,S1100,37.9271838,-122.3223326,109,109,50,50,0.959999979,FALSE,559555.7686,4197966.682,38921.1889,-2760.004144
16,38:07.5,44,1.10E+12,State Rte 1,S,S1200,37.86581582,-122.5755269,45,45,174,174,0.5,FALSE,537336.6021,4191022.6,-39295.75575,526.2944472
17,38:07.9,44,1.10E+12,State Rte 1,S,S1200,37.89225618,-122.6334666,44,44,153,153,0.5,FALSE,532225.0378,4193926.439,188827.7852,-56158.7474
18,38:08.3,44,1.10E+12,State Rte 1,S,S1200,37.93993961,-122.7052107,63,63,99,99,0.5,FALSE,525902.6106,4199186.173,-51135.68404,16457.3513
19,38:08.8,44,1.10E+12,State Rte 1,S,S1200,38.0082975,-122.7628401,66,66,108,108,0.5,FALSE,520820.4987,4206763.092,112054.6427,-7318.289927
20,38:09.2,44,1.10E+12,State Rte 1,S,S1200,38.07995333,-122.8063013,59,59,123,123,0.5,FALSE,516994.2695,4214718.187,12882.29475,-5077.508425
21,38:09.6,44,1.10E+12,State Rte 1,S,S1200,38.13195071,-122.8682359,70,70,87,87,0.5,FALSE,511547.5371,4220478.491,64789.95265,-23154.27059
22,38:09.9,44,1.10E+12,State Rte 1,S,S1200,38.1973314,-122.9202724,57,57,119,119,0.5,FALSE,506978.5308,4227712.741,-61892.82083,5291.928985
23,38:10.4,44,1.10E+12,State Rte 1,S,S1200,38.27627802,-122.899996,75,75,77,77,0.5,FALSE,508743.3865,4236477.758,-1138.860286,1596.582074
24,38:10.7,53,1.11E+11,Saint Helena Hwy,M,S1200,38.47014361,-122.4312552,83,83,65,65,0.5,FALSE,549616.382,4258148.965,185994.4124,32046.1233
25,38:11.2,76,1.10E+12,State Rte 35,S,S1200,37.46531467,-122.3469018,74,74,95,95,0.5,FALSE,557751.3355,4146689.179,3910.796889,-1275.929511
26,38:11.6,76,1.10E+12,State Rte 35,S,S1200,37.40712371,-122.3068439,74,74,93,93,0.5,FALSE,561344.952,4140261.321,4973.718562,-6125.532701
27,38:11.9,76,1.10E+12,State Rte 35,S,S1200,37.3635733,-122.2470376,79,79,88,88,0.5,FALSE,566677.0302,4135487.423,602.4865755,13378.57834
28,38:12.3,78,1.10E+12,Coast Hwy,M,S1200,37.52512017,-122.5110808,81,81,40,40,0.949999988,FALSE,543197.6718,4153237.195,26933.20126,-2132.634548
29,38:12.7,79,1.10E+12,Skyline Blvd,M,S1200,37.43501069,-122.3199381,75,75,98,98,0.5,FALSE,560166.5721,4143360.995,-4495.416579,2628.714609
30,38:13.2,79,1.10E+12,Skyline Blvd,M,S1200,37.38935112,-122.275283,56,56,125,125,0.5,FALSE,564158.2184,4138305.098,60620.21385,-1491.803933
31,38:13.6,79,1.10E+12,Skyline Blvd,M,S1200,37.33502059,-122.2167036,76,76,92,92,0.5,FALSE,569389.5689,4132333.494,-5595.471535,-4731.805187
32,38:14.0,82,1.10E+12,I- 280,I,S1100,37.4495523,-122.2773653,119,119,58,58,0.720000029,FALSE,563923.2885,4144987.111,17151.68496,24210.69426
33,38:14.4,82,1.10E+12,I- 280,I,S1100,37.50760158,-122.3393377,119,119,11,11,0.75,FALSE,558392.994,4151400.08,253706.0427,-67508.4055
34,38:14.8,82,1.10E+12,I- 280,I,S1100,37.57731256,-122.4014092,115,115,29,29,0.939999998,FALSE,552852.3165,4159082.898,84483.19,24133.3107
35,38:15.2,83,1.10E+12,Bayshore Fwy,M,S1200,37.62233669,-122.4002419,105,105,42,42,0.939999998,FALSE,552928.1842,4164081.036,-47646.30089,1080.545988
36,38:15.6,83,1.10E+12,Bayshore Fwy,M,S1200,37.57813644,-122.3217715,107,107,56,56,0.949999988,FALSE,559884.8317,4159225.492,119735.6358,-4503.734338
37,38:15.9,83,1.10E+12,Bayshore Fwy,M,S1200,37.5118854,-122.253652,110,110,40,40,0.949999988,FALSE,565963.103,4151923.946,198001.0209,3590.473261
38,38:16.4,83,1.10E+12,Bayshore Fwy,M,S1200,37.47629738,-122.1677074,110,110,49,49,0.949999988,FALSE,573587.6216,4148039.785,35530.2385,3354.939338
39,38:16.8,84,1.10E+12,US Hwy 101,U,S1200,37.62232301,-122.4005845,110,110,30,30,0.939999998,FALSE,552901.2534,4164080.864,27696.12345,86361.68233
40,38:17.2,84,1.10E+12,US Hwy 101,U,S1200,37.57815984,-122.3221006,106,106,32,32,0.949999988,FALSE,559857.7382,4159245.612,73696.8573,-17428.37011
41,38:17.6,84,1.10E+12,US Hwy 101,U,S1200,37.51187644,-122.2539962,111,111,50,50,0.939999998,FALSE,565936.1322,4151923.732,-62128.70889,20546.70674
42,38:18.0,84,1.10E+12,US Hwy 101,U,S1200,37.47629327,-122.1680642,111,111,61,61,0.939999998,FALSE,573555.2411,4148039.499,19858.97529,-4690.407562
43,38:18.4,86,1.10E+12,State Rte 82,S,S1200,37.65999823,-122.4415109,48,48,62,62,0.970000029,FALSE,549256.8009,4168250.185,106014.8302,139188.2049
44,38:18.8,87,1.10E+12,Coast Hwy,M,S1200,37.67144219,-122.4760304,100,100,14,14,0.939999998,FALSE,546208.0893,4169498.931,43292.36093,11288.42864
45,38:19.3,88,1.10E+12,Coast Hwy,M,S1200,37.60907875,-122.4948498,71,71,52,52,0.959999979,FALSE,544587.5161,4162569.225,65549.94346,61162.48864
46,38:19.7,91,1.10E+12,State Rte 152,S,S1200,37.02722572,-121.3275055,112,112,40,40,0.949999988,FALSE,648762.6803,4099207.189,-30568.2417,-7385.172361
47,38:20.2,91,1.10E+12,State Rte 152,S,S1200,37.05635444,-121.2438379,107,107,58,58,0.939999998,FALSE,656157.8352,4102558.135,-47644.79943,-12961.82741
48,38:20.6,97,1.10E+12,State Rte 130,S,S1200,37.3631592,-121.7599352,40,40,136,136,0.5,FALSE,609814.2754,4135895.393,-3156.986947,-731.9252371
49,38:21.1,97,1.10E+12,State Rte 130,S,S1200,37.32923878,-121.69112,35,35,163,163,0.5,FALSE,615958.0795,4132205.803,3908.40015,-3738.546904
50,38:21.5,97,1.10E+12,State Rte 130,S,S1200,37.33801803,-121.653071,37,37,194,194,0.5,FALSE,619313.0777,4133228.284,217635.2695,-14564.41777
51,38:22.0,97,1.10E+12,State Rte 130,S,S1200,37.34976774,-121.6004447,42,42,158,158,0.5,FALSE,623959.8011,4134609.851,-92952.21264,2654.044376
52,38:22.4,97,1.10E+12,State Rte 130,S,S1200,37.35063556,-121.5366172,52,52,129,129,0.5,FALSE,629607.844,4134783.533,87406.20062,-10434.97547
53,38:22.8,97,1.10E+12,State Rte 130,S,S1200,37.35061406,-121.4782111,73,73,76,76,0.5,FALSE,634781.4948,4134865.319,21858.46991,19283.36065
54,38:23.2,97,1.10E+12,State Rte 130,S,S1200,37.38931798,-121.4507175,50,50,76,76,0.5,FALSE,637149.4044,4139184.82,104368.3143,-7993.599334
55,38:23.6,102,1.10E+12,I- 280,I,S1100,37.35953437,-122.1189596,115,115,31,31,0.920000017,FALSE,578025.9586,4135138.691,-225715.9982,-60816.21617
56,38:24.0,102,1.10E+12,I- 280,I,S1100,37.33442875,-122.0325102,27,27,20,20,0.949999988,FALSE,585713.7363,4132417.055,-80990.43959,12101.26183
57,38:24.4,102,1.10E+12,I- 280,I,S1100,37.31733774,-121.9413722,109,109,15,15,0.920000017,FALSE,593807.7307,4130600.841,39606.69265,-8026.63785
58,38:24.8,102,1.10E+12,I- 280,I,S1100,37.33927206,-121.8527878,112,112,23,23,0.949999988,FALSE,601620.1437,4133130.134,31101.05565,-5617.36212
59,38:25.2,108,1.10E+12,State Rte 82,S,S1200,37.25733424,-121.8049495,45,45,61,61,0.850000024,FALSE,605984.8162,4124088.618,-35390.96537,7278.440948
60,38:25.6,126,1.11E+12,I- 680,I,S1100,38.11912442,-122.1062478,113,113,22,22,0.939999998,FALSE,578345.6885,4219405.07,-52630.63901,2893.751726
61,38:26.0,126,1.11E+12,I- 680,I,S1100,38.20489921,-122.1381569,108,108,59,59,0.870000005,FALSE,575453.6819,4228900.476,-43194.82865,-1828.260269
62,38:26.4,140,1.10E+12,Redwood Hwy,M,S1200,38.25741572,-122.647556,108,108,53,53,0.930000007,FALSE,530831.6431,4234445.882,49064.58544,12052.14327
63,38:26.8,140,1.10E+12,Redwood Hwy,M,S1200,38.31969787,-122.713904,114,114,30,30,0.949999988,FALSE,525005.7664,4241326.862,36491.61001,16205.7262
